City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
142,cururupu,BR,-1.8283,-44.8683,73.81,94,21,3.0,few clouds,0.0,0
143,lafayette,US,30.2335,-92.0668,83.91,89,75,5.75,thunderstorm,0.0,0
144,saint anthony,US,45.0205,-93.218,75.29,61,20,27.63,few clouds,0.0,0
145,tougue,GN,11.4667,-11.6,67.5,98,100,2.01,light rain,0.11,0
146,port macquarie,AU,-31.4333,152.9167,58.01,66,100,3.04,light rain,0.2,0
147,buckingham,GB,51.9997,-0.9878,69.98,53,100,6.4,overcast clouds,0.0,0
148,castro,BR,-24.7911,-50.0119,66.51,52,100,13.87,overcast clouds,0.0,0
149,batsfjord,NO,70.6345,29.7185,49.78,100,100,0.0,fog,0.0,0
150,khlung,TH,12.4547,102.2214,84.11,100,100,9.33,overcast clouds,0.0,0
151,urengoy,RU,65.9667,78.3667,56.26,52,6,12.8,clear sky,0.0,0
152,sarangani,PH,5.4033,125.4636,82.09,77,100,9.28,overcast clouds,0.0,0
153,linxia,CN,35.6003,103.2064,67.6,70,100,2.46,overcast clouds,0.0,0
154,lhokseumawe,ID,5.1801,97.1507,80.51,76,100,3.47,overcast clouds,0.0,0
155,san jose,US,37.3394,-121.895,93.22,46,0,13.8,clear sky,0.0,0
156,khani,GE,41.9563,42.9566,60.37,98,100,0.72,overcast clouds,0.0,0
157,quzhou,CN,28.9594,118.8686,94.24,60,32,1.77,scattered clouds,0.0,0
158,vaini,TO,-21.2,-175.2,80.76,74,20,11.5,few clouds,0.0,0
159,providencia,MX,28.7167,-111.5833,94.41,56,11,10.6,few clouds,0.0,0
160,guerrero negro,MX,27.9769,-114.0611,68.13,80,58,19.08,broken clouds,0.0,0
161,sakakah,SA,29.9697,40.2064,83.77,23,0,7.74,clear sky,0.0,0
162,jiuquan,CN,39.7432,98.5174,78.64,17,4,4.76,clear sky,0.0,0
163,sabang,ID,5.8933,95.3214,81.64,73,100,19.06,overcast clouds,0.0,0
164,jenjarom,MY,2.8766,101.4988,85.53,88,97,2.39,overcast clouds,0.0,0
165,georgetown,MY,5.4112,100.3354,78.73,94,40,3.44,scattered clouds,0.0,0
166,upernavik,GL,72.7868,-56.1549,38.91,85,25,5.03,scattered clouds,0.0,0
167,pokrovsk,UA,48.282,37.1758,56.73,94,0,5.7,clear sky,0.0,0
168,lunglei,IN,22.8833,92.7333,76.3,77,9,1.57,clear sky,0.0,0
169,husavik,IS,66.0449,-17.3389,46.27,99,100,16.89,overcast clouds,0.0,0
170,cascais,PT,38.6979,-9.4215,76.51,53,92,7.0,overcast clouds,0.0,0
171,robat karim,IR,35.4846,51.0829,87.66,14,0,3.44,clear sky,0.0,0
172,raga,SS,8.4596,25.678,68.95,98,100,3.24,light rain,0.15,0
173,jalu,LY,29.0331,21.5482,75.72,47,0,9.06,clear sky,0.0,0
174,port blair,IN,11.6667,92.75,84.24,79,100,12.66,mist,0.0,0
175,kaitangata,NZ,-46.2817,169.8464,44.85,91,100,16.87,moderate rain,1.95,0
176,saskylakh,RU,71.9167,114.0833,43.65,66,100,16.69,overcast clouds,0.0,0
177,callaway,US,30.153,-85.5699,77.05,94,100,12.66,moderate rain,0.68,0
178,chuy,UY,-33.6971,-53.4616,49.66,92,100,16.64,overcast clouds,0.0,0
179,maltahohe,NA,-24.8333,16.9833,46.15,44,0,5.44,clear sky,0.0,0
180,jutai,BR,-5.1833,-68.9,77.11,80,100,1.19,overcast clouds,0.0,0
181,gamboula,CF,4.1178,15.1393,67.48,99,100,2.73,light rain,0.51,0
182,belmonte,BR,-15.8631,-38.8828,72.84,81,87,6.55,overcast clouds,0.0,0
